Genetic Feature,Recurrent Gain Loss,Genes in Segment
cnaPANCAN212,gain,PTCRA
cnaPANCAN212,gain,PTK7
cnaPANCAN212,gain,RP1-139D8.6
cnaPANCAN212,gain,RP11-444E17.6
cnaPANCAN212,gain,RPL7L1
cnaPANCAN212,gain,RRP36
cnaPANCAN212,gain,RSPH9
cnaPANCAN212,gain,RUNX2
cnaPANCAN212,gain,SLC22A7
cnaPANCAN212,gain,SLC29A1
cnaPANCAN212,gain,SLC35B2
cnaPANCAN212,gain,SPATS1
cnaPANCAN212,gain,SRF
cnaPANCAN212,gain,SUPT3H
cnaPANCAN212,gain,TAF8
cnaPANCAN212,gain,TBCC
cnaPANCAN212,gain,TCTE1
cnaPANCAN212,gain,TFEB
cnaPANCAN212,gain,TJAP1
cnaPANCAN212,gain,TMEM151B
cnaPANCAN212,gain,TMEM63B
cnaPANCAN212,gain,TOMM6
cnaPANCAN212,gain,TREM1
cnaPANCAN212,gain,TREM2
cnaPANCAN212,gain,TREML1
cnaPANCAN212,gain,TREML2
cnaPANCAN212,gain,TREML4
cnaPANCAN212,gain,TRERF1
cnaPANCAN212,gain,TSPO2
cnaPANCAN212,gain,TTBK1
cnaPANCAN212,gain,UBR2
cnaPANCAN212,gain,UNC5CL
cnaPANCAN212,gain,USP49
cnaPANCAN212,gain,VEGFA
cnaPANCAN212,gain,XPO5
cnaPANCAN212,gain,YIPF3
cnaPANCAN212,gain,ZNF318
cnaPANCAN213,gain,BAG2
cnaPANCAN213,gain,BEND6
cnaPANCAN213,gain,BMP5
cnaPANCAN213,gain,C6orf141
cnaPANCAN213,gain,CENPQ
cnaPANCAN213,gain,COL21A1
cnaPANCAN213,gain,CRISP1
cnaPANCAN213,gain,CRISP2
cnaPANCAN213,gain,CRISP3
cnaPANCAN213,gain,DEFB110
cnaPANCAN213,gain,DEFB112
cnaPANCAN213,gain,DEFB113
cnaPANCAN213,gain,DEFB114
cnaPANCAN213,gain,DST
cnaPANCAN213,gain,EFHC1
cnaPANCAN213,gain,ELOVL5
cnaPANCAN213,gain,FAM83B
cnaPANCAN213,gain,FBXO9
cnaPANCAN213,gain,GCLC
cnaPANCAN213,gain,GCM1
cnaPANCAN213,gain,GFRAL
cnaPANCAN213,gain,GLYATL3
cnaPANCAN213,gain,GSTA1
cnaPANCAN213,gain,GSTA2
cnaPANCAN213,gain,GSTA3
cnaPANCAN213,gain,GSTA4
cnaPANCAN213,gain,GSTA5
cnaPANCAN213,gain,HCRTR2
cnaPANCAN213,gain,HMGCLL1
cnaPANCAN213,gain,ICK
cnaPANCAN213,gain,IL17A
cnaPANCAN213,gain,IL17F
cnaPANCAN213,gain,KIAA1586
cnaPANCAN213,gain,KLHL31
cnaPANCAN213,gain,LRRC1
cnaPANCAN213,gain,MCM3
cnaPANCAN213,gain,MLIP
cnaPANCAN213,gain,MUT
cnaPANCAN213,gain,PAQR8
cnaPANCAN213,gain,PGK2
cnaPANCAN213,gain,PKHD1
cnaPANCAN213,gain,PRIM2
cnaPANCAN213,gain,RAB23
cnaPANCAN213,gain,RHAG
cnaPANCAN213,gain,TFAP2B
cnaPANCAN213,gain,TFAP2D
cnaPANCAN213,gain,TINAG
cnaPANCAN213,gain,TMEM14A
cnaPANCAN213,gain,TRAM2
cnaPANCAN213,gain,ZNF451
cnaPANCAN214,gain,EYS
cnaPANCAN214,gain,FKBP1C
cnaPANCAN214,gain,KHDRBS2
cnaPANCAN214,gain,LGSN
cnaPANCAN214,gain,MTRNR2L9
cnaPANCAN214,gain,PHF3
cnaPANCAN214,gain,PTP4A1
cnaPANCAN215,loss,GMDS
cnaPANCAN216,loss,PSMG4
cnaPANCAN216,loss,SLC22A23
cnaPANCAN217,loss,MAK
cnaPANCAN217,loss,RP11-637O19.3
cnaPANCAN217,loss,SYCP2L
cnaPANCAN217,loss,TMEM14B
cnaPANCAN218,loss,PHACTR1
cnaPANCAN219,loss,GPLD1
cnaPANCAN220,loss,HIST1H2AB
cnaPANCAN220,loss,HIST1H3B
cnaPANCAN221,loss,HIST1H2BJ
cnaPANCAN222,loss,GTF2H4
cnaPANCAN222,loss,VARS2
cnaPANCAN223,loss,SFTA2
cnaPANCAN223,loss,VARS2
cnaPANCAN224,loss,CCHCR1
cnaPANCAN224,loss,PSORS1C1
cnaPANCAN224,loss,PSORS1C2
cnaPANCAN224,loss,TCF19
cnaPANCAN225,loss,MDFI
cnaPANCAN226,loss,GUCA1A
cnaPANCAN226,loss,RP1-139D8.6
cnaPANCAN227,loss,KCNQ5
cnaPANCAN228,loss,KCNQ5
cnaPANCAN229,loss,COL12A1
cnaPANCAN230,loss,AKIRIN2
cnaPANCAN230,loss,ANKRD6
cnaPANCAN230,loss,ASCC3
cnaPANCAN230,loss,BACH2
cnaPANCAN230,loss,BCKDHB
cnaPANCAN230,loss,C6orf163
cnaPANCAN230,loss,C6orf164
cnaPANCAN230,loss,C6orf165
cnaPANCAN230,loss,C6ORF165
cnaPANCAN230,loss,CCNC
cnaPANCAN230,loss,CGA
cnaPANCAN230,loss,CNR1
cnaPANCAN230,loss,COQ3
cnaPANCAN230,loss,CYB5R4
cnaPANCAN230,loss,DOPEY1
cnaPANCAN230,loss,ELOVL4
cnaPANCAN230,loss,EPHA7
cnaPANCAN230,loss,FAM46A
cnaPANCAN230,loss,FAXC
cnaPANCAN230,loss,FBXL4
cnaPANCAN230,loss,FHL5
cnaPANCAN230,loss,FUT9
cnaPANCAN230,loss,GABRR1
cnaPANCAN230,loss,GABRR2
cnaPANCAN230,loss,GJA10
cnaPANCAN230,loss,GJB7
cnaPANCAN230,loss,GPR63
cnaPANCAN230,loss,GRIK2
cnaPANCAN230,loss,HMGN3
cnaPANCAN230,loss,HTR1B
cnaPANCAN230,loss,HTR1E
cnaPANCAN230,loss,IBTK
cnaPANCAN230,loss,IRAK1BP1
cnaPANCAN230,loss,KIAA1009
cnaPANCAN230,loss,KLHL32
cnaPANCAN230,loss,LCA5
cnaPANCAN230,loss,LYRM2
cnaPANCAN230,loss,MANEA
cnaPANCAN230,loss,MAP3K7
cnaPANCAN230,loss,MCHR2
cnaPANCAN230,loss,MDN1
cnaPANCAN230,loss,ME1
cnaPANCAN230,loss,MEI4
cnaPANCAN230,loss,MMS22L
cnaPANCAN230,loss,MRAP2
cnaPANCAN230,loss,NDUFAF4
cnaPANCAN230,loss,NT5E
cnaPANCAN230,loss,ORC3
cnaPANCAN230,loss,PGM3
cnaPANCAN230,loss,PHIP
cnaPANCAN230,loss,PM20D2
cnaPANCAN230,loss,PNISR
cnaPANCAN230,loss,PNRC1
cnaPANCAN230,loss,POU3F2
cnaPANCAN230,loss,PRDM13
cnaPANCAN230,loss,PRSS35
cnaPANCAN230,loss,RARS2
cnaPANCAN230,loss,RIPPLY2
cnaPANCAN230,loss,RNGTT
cnaPANCAN230,loss,RP1-102H19.8
cnaPANCAN230,loss,RP11-321N4.5
cnaPANCAN230,loss,RRAGD
cnaPANCAN230,loss,RWDD2A
cnaPANCAN230,loss,SH3BGRL2
cnaPANCAN230,loss,SIM1
cnaPANCAN230,loss,SLC35A1
cnaPANCAN230,loss,SMIM8
cnaPANCAN230,loss,SNAP91
cnaPANCAN230,loss,SNX14
cnaPANCAN230,loss,SPACA1
cnaPANCAN230,loss,SRSF12
cnaPANCAN230,loss,SYNCRIP
cnaPANCAN230,loss,TBX18
cnaPANCAN230,loss,TPBG
cnaPANCAN230,loss,TTK
cnaPANCAN230,loss,UBE2J1
cnaPANCAN230,loss,UBE3D
cnaPANCAN230,loss,UFL1
cnaPANCAN230,loss,USP45
cnaPANCAN230,loss,ZNF292
cnaPANCAN231,loss,L3MBTL3
cnaPANCAN232,loss,PDE7B
cnaPANCAN233,loss,LATS1
cnaPANCAN234,loss,SYNE1
cnaPANCAN235,loss,ACAT2
cnaPANCAN235,loss,AGPAT4
cnaPANCAN235,loss,ARID1B
cnaPANCAN235,loss,C6orf118
cnaPANCAN235,loss,C6orf120
cnaPANCAN235,loss,C6orf123
cnaPANCAN235,loss,C6orf99
cnaPANCAN235,loss,CCR6
cnaPANCAN235,loss,CLDN20
cnaPANCAN235,loss,CNKSR3
cnaPANCAN235,loss,DACT2
cnaPANCAN235,loss,DLL1
cnaPANCAN235,loss,DYNLT1
cnaPANCAN235,loss,ERMARD
cnaPANCAN235,loss,EZR
cnaPANCAN235,loss,FAM120B
cnaPANCAN235,loss,FGFR1OP
cnaPANCAN235,loss,FNDC1
cnaPANCAN235,loss,FRMD1
cnaPANCAN235,loss,GPR31
cnaPANCAN235,loss,GTF2H5
cnaPANCAN235,loss,IGF2R
cnaPANCAN235,loss,IPCEF1
cnaPANCAN235,loss,KIF25
cnaPANCAN235,loss,LPA
cnaPANCAN235,loss,MAP3K4
cnaPANCAN235,loss,MAS1
cnaPANCAN235,loss,MLLT4
cnaPANCAN235,loss,MPC1
cnaPANCAN235,loss,MRPL18
cnaPANCAN235,loss,NOX3
cnaPANCAN235,loss,OPRM1
cnaPANCAN235,loss,PACRG
cnaPANCAN235,loss,PARK2
cnaPANCAN235,loss,PDCD2
cnaPANCAN235,loss,PDE10A
cnaPANCAN235,loss,PHF10
cnaPANCAN235,loss,PLG
cnaPANCAN235,loss,PNLDC1
cnaPANCAN235,loss,PRR18
cnaPANCAN235,loss,PSMB1
cnaPANCAN235,loss,QKI
cnaPANCAN235,loss,RGS17
cnaPANCAN235,loss,RNASET2
cnaPANCAN235,loss,RP11-514O12.4
cnaPANCAN235,loss,RPS6KA2
cnaPANCAN235,loss,RSPH3
cnaPANCAN235,loss,SCAF8
cnaPANCAN235,loss,SERAC1
cnaPANCAN235,loss,SFT2D1
cnaPANCAN235,loss,SLC22A1
cnaPANCAN235,loss,SLC22A2
cnaPANCAN235,loss,SLC22A3
cnaPANCAN235,loss,SMOC2
cnaPANCAN235,loss,SNX9
cnaPANCAN235,loss,SOD2
cnaPANCAN235,loss,SYNJ2
cnaPANCAN235,loss,SYTL3
cnaPANCAN235,loss,T
cnaPANCAN235,loss,TAGAP
cnaPANCAN235,loss,TBP
cnaPANCAN235,loss,TCP1
cnaPANCAN235,loss,TCP10
cnaPANCAN235,loss,TCP10L2
cnaPANCAN235,loss,TCTE3
cnaPANCAN235,loss,TFB1M
cnaPANCAN235,loss,THBS2
cnaPANCAN235,loss,TIAM2
cnaPANCAN235,loss,TMEM181
cnaPANCAN235,loss,TMEM242
cnaPANCAN235,loss,TTLL2
cnaPANCAN235,loss,TULP4
cnaPANCAN235,loss,UNC93A
cnaPANCAN235,loss,WDR27
cnaPANCAN235,loss,WTAP
cnaPANCAN235,loss,ZDHHC14
cnaPANCAN236,gain,C3orf83
cnaPANCAN236,gain,CAND2
cnaPANCAN236,gain,MKRN2
cnaPANCAN236,gain,PPARG
cnaPANCAN236,gain,RAF1
cnaPANCAN236,gain,TAMM41
cnaPANCAN236,gain,TIMP4
cnaPANCAN236,gain,TMEM40
cnaPANCAN236,gain,TSEN2
cnaPANCAN236,gain,VGLL4
cnaPANCAN237,gain,IQSEC1
cnaPANCAN238,gain,FBLN2
cnaPANCAN238,gain,WNT7A
cnaPANCAN239,gain,ARL6IP5
cnaPANCAN239,gain,EIF4E3
cnaPANCAN239,gain,EOGT
cnaPANCAN239,gain,FAM19A4
cnaPANCAN239,gain,FOXP1
cnaPANCAN239,gain,FRMD4B
cnaPANCAN239,gain,GPR27
cnaPANCAN239,gain,GXYLT2
cnaPANCAN239,gain,LMOD3
cnaPANCAN239,gain,MITF
cnaPANCAN239,gain,PROK2
cnaPANCAN239,gain,RYBP
cnaPANCAN239,gain,SHQ1
cnaPANCAN239,gain,TMF1
cnaPANCAN239,gain,UBA3
cnaPANCAN240,gain,ACAD11
cnaPANCAN240,gain,ACKR4
cnaPANCAN240,gain,ACPP
cnaPANCAN240,gain,BFSP2
cnaPANCAN240,gain,CDV3
cnaPANCAN240,gain,CPNE4
cnaPANCAN240,gain,DNAJC13
cnaPANCAN240,gain,NPHP3
cnaPANCAN240,gain,SRPRB
cnaPANCAN240,gain,TF
cnaPANCAN240,gain,TMEM108
cnaPANCAN240,gain,TOPBP1
cnaPANCAN240,gain,UBA5
cnaPANCAN241,gain,IL20RB
cnaPANCAN241,gain,NCK1
cnaPANCAN241,gain,SLC35G2
cnaPANCAN241,gain,STAG1
cnaPANCAN242,gain,CEP70
cnaPANCAN242,gain,ESYT3
cnaPANCAN242,gain,FAIM
cnaPANCAN242,gain,PIK3CB
cnaPANCAN243,gain,OTOL1
cnaPANCAN244,gain,ZBBX
cnaPANCAN245,gain,ACTRT3
cnaPANCAN245,gain,CLDN11
cnaPANCAN245,gain,EIF5A2
cnaPANCAN245,gain,FNDC3B
cnaPANCAN245,gain,GHSR
cnaPANCAN245,gain,GOLIM4
cnaPANCAN245,gain,GPR160
cnaPANCAN245,gain,LRRC31
cnaPANCAN245,gain,LRRC34
cnaPANCAN245,gain,LRRIQ4
cnaPANCAN245,gain,MECOM
cnaPANCAN245,gain,MYNN
cnaPANCAN245,gain,NCEH1
cnaPANCAN245,gain,PDCD10
cnaPANCAN245,gain,PHC3
cnaPANCAN245,gain,PLD1
cnaPANCAN245,gain,PRKCI
cnaPANCAN245,gain,RPL22L1
cnaPANCAN245,gain,SAMD7
cnaPANCAN245,gain,SEC62
cnaPANCAN245,gain,SERPINI1
cnaPANCAN245,gain,SERPINI2
cnaPANCAN245,gain,SKIL
cnaPANCAN245,gain,SLC2A2
cnaPANCAN245,gain,SLC7A14
cnaPANCAN245,gain,TMEM212
cnaPANCAN245,gain,TNFSF10
cnaPANCAN245,gain,TNIK
cnaPANCAN245,gain,WDR49
cnaPANCAN246,gain,ATP11B
cnaPANCAN246,gain,B3GNT5
cnaPANCAN246,gain,DCUN1D1
cnaPANCAN246,gain,KLHL24
cnaPANCAN246,gain,KLHL6
cnaPANCAN246,gain,LAMP3
cnaPANCAN246,gain,MCCC1
cnaPANCAN246,gain,MCF2L2
cnaPANCAN246,gain,SOX2
cnaPANCAN246,gain,YEATS2
cnaPANCAN247,gain,EIF2B5
cnaPANCAN247,gain,EPHB3
cnaPANCAN248,gain,ADIPOQ
cnaPANCAN248,gain,AHSG
cnaPANCAN248,gain,DNAJB11
cnaPANCAN248,gain,EIF4A2
cnaPANCAN248,gain,FETUB
cnaPANCAN248,gain,HRG
cnaPANCAN248,gain,KNG1
cnaPANCAN248,gain,RFC4
cnaPANCAN248,gain,RPL39L
cnaPANCAN248,gain,ST6GAL1
cnaPANCAN249,gain,LEPREL1
cnaPANCAN249,gain,TP63
cnaPANCAN250,loss,AC018816.3
cnaPANCAN250,loss,ARL8B
cnaPANCAN250,loss,BHLHE40
cnaPANCAN250,loss,CAV3
cnaPANCAN250,loss,CNTN4
cnaPANCAN250,loss,CRBN
cnaPANCAN250,loss,EDEM1
cnaPANCAN250,loss,GRM7
cnaPANCAN250,loss,IL5RA
cnaPANCAN250,loss,ITPR1
cnaPANCAN250,loss,LMCD1
cnaPANCAN250,loss,LRRN1
cnaPANCAN250,loss,OXTR
cnaPANCAN250,loss,RAD18
cnaPANCAN250,loss,SETD5
cnaPANCAN250,loss,SETMAR
cnaPANCAN250,loss,SRGAP3
cnaPANCAN250,loss,SSUH2
cnaPANCAN250,loss,SUMF1
cnaPANCAN250,loss,THUMPD3
cnaPANCAN250,loss,TRNT1
cnaPANCAN251,loss,SLC22A14
cnaPANCAN252,loss,XYLB
cnaPANCAN253,loss,VIPR1
cnaPANCAN254,loss,DUSP7
cnaPANCAN255,loss,ITIH1
cnaPANCAN255,loss,ITIH3
cnaPANCAN256,loss,ACTR8
cnaPANCAN256,loss,CACNA1D
cnaPANCAN256,loss,CACNA2D3
cnaPANCAN256,loss,CHDH
cnaPANCAN256,loss,ERC2
cnaPANCAN256,loss,IL17RB
cnaPANCAN256,loss,LRTM1
cnaPANCAN256,loss,SELK
cnaPANCAN256,loss,WNT5A
cnaPANCAN257,loss,FHIT
cnaPANCAN258,loss,C3orf14
cnaPANCAN258,loss,CADPS
cnaPANCAN258,loss,FEZF2
cnaPANCAN258,loss,PTPRG
cnaPANCAN259,loss,PSMD6
cnaPANCAN260,loss,PRICKLE2
cnaPANCAN261,loss,ADAMTS9
cnaPANCAN262,loss,FOXP1
cnaPANCAN263,loss,ARL13B
cnaPANCAN263,loss,ARL6
cnaPANCAN263,loss,CRYBG3
cnaPANCAN263,loss,DHFRL1
cnaPANCAN263,loss,EPHA6
cnaPANCAN263,loss,MTRNR2L12
cnaPANCAN263,loss,NSUN3
cnaPANCAN263,loss,STX19
cnaPANCAN264,loss,FSTL1
cnaPANCAN265,loss,TRH
cnaPANCAN266,loss,FAM188B2
cnaPANCAN266,loss,RP11-166N6.3
cnaPANCAN267,loss,FNDC3B
cnaPANCAN268,gain,C1orf127
cnaPANCAN268,gain,CASZ1
cnaPANCAN268,gain,EXOSC10
cnaPANCAN268,gain,MASP2
cnaPANCAN268,gain,PEX14
cnaPANCAN268,gain,SRM
cnaPANCAN268,gain,TARDBP
cnaPANCAN269,gain,BMP8A
cnaPANCAN269,gain,BMP8B
cnaPANCAN269,gain,CAP1
cnaPANCAN269,gain,CCDC30
cnaPANCAN269,gain,CITED4
cnaPANCAN269,gain,COL9A2
cnaPANCAN269,gain,CTPS1
cnaPANCAN269,gain,EDN2
cnaPANCAN269,gain,EXO5
cnaPANCAN269,gain,FOXJ3
cnaPANCAN269,gain,FOXO6
cnaPANCAN269,gain,GUCA2A
cnaPANCAN269,gain,GUCA2B
cnaPANCAN269,gain,HEYL
cnaPANCAN269,gain,HIVEP3
cnaPANCAN269,gain,HPCAL4
cnaPANCAN269,gain,KCNQ4
cnaPANCAN269,gain,KIAA0754
cnaPANCAN269,gain,MACF1
cnaPANCAN269,gain,MFSD2A
cnaPANCAN269,gain,MYCL
cnaPANCAN269,gain,NDUFS5
cnaPANCAN269,gain,NFYC
cnaPANCAN269,gain,NT5C1A
cnaPANCAN269,gain,OXCT2
cnaPANCAN269,gain,PABPC4
cnaPANCAN269,gain,PPCS
cnaPANCAN269,gain,PPIE
cnaPANCAN269,gain,PPT1
cnaPANCAN269,gain,RIMKLA
cnaPANCAN269,gain,RIMS3
cnaPANCAN269,gain,RLF
cnaPANCAN269,gain,SCMH1
cnaPANCAN269,gain,SLFNL1
cnaPANCAN269,gain,SMAP2
cnaPANCAN269,gain,TMCO2
cnaPANCAN269,gain,TRIT1
cnaPANCAN269,gain,ZFP69
cnaPANCAN269,gain,ZFP69B
cnaPANCAN269,gain,ZMPSTE24
cnaPANCAN269,gain,ZMYND12
cnaPANCAN269,gain,ZNF684
cnaPANCAN270,gain,C1orf87
cnaPANCAN270,gain,CYP2J2
cnaPANCAN270,gain,DAB1
cnaPANCAN270,gain,FGGY
cnaPANCAN270,gain,HOOK1
cnaPANCAN270,gain,JUN
cnaPANCAN270,gain,MYSM1
cnaPANCAN270,gain,OMA1
cnaPANCAN270,gain,TACSTD2
cnaPANCAN271,gain,ADAM30
cnaPANCAN271,gain,HAO2
cnaPANCAN271,gain,HMGCS2
cnaPANCAN271,gain,HSD3B1
cnaPANCAN271,gain,HSD3B2
cnaPANCAN271,gain,NOTCH2
cnaPANCAN271,gain,PHGDH
cnaPANCAN271,gain,REG4
cnaPANCAN271,gain,TBX15
cnaPANCAN271,gain,WARS2
cnaPANCAN271,gain,ZNF697
cnaPANCAN272,gain,ADAMTSL4
cnaPANCAN272,gain,ADAMTSL4-AS1
cnaPANCAN272,gain,ANP32E
cnaPANCAN272,gain,ANXA9
cnaPANCAN272,gain,APH1A
cnaPANCAN272,gain,ARNT
cnaPANCAN272,gain,BNIPL
cnaPANCAN272,gain,C1orf51
cnaPANCAN272,gain,C1orf54
cnaPANCAN272,gain,C1orf56
cnaPANCAN272,gain,C2CD4D
cnaPANCAN272,gain,CA14
cnaPANCAN272,gain,CDC42SE1
cnaPANCAN272,gain,CELF3
cnaPANCAN272,gain,CERS2
cnaPANCAN272,gain,CGN
cnaPANCAN272,gain,CTSK
cnaPANCAN272,gain,CTSS
cnaPANCAN272,gain,ECM1
cnaPANCAN272,gain,ENSA
cnaPANCAN272,gain,FAM63A
cnaPANCAN272,gain,GABPB2
cnaPANCAN272,gain,GOLPH3L
cnaPANCAN272,gain,HORMAD1
cnaPANCAN272,gain,LINGO4
cnaPANCAN272,gain,LYSMD1
cnaPANCAN272,gain,MCL1
cnaPANCAN272,gain,MLLT11
cnaPANCAN272,gain,MRPL9
cnaPANCAN272,gain,MRPS21
cnaPANCAN272,gain,OAZ3
cnaPANCAN272,gain,PI4KB
cnaPANCAN272,gain,PIP5K1A
cnaPANCAN272,gain,POGZ
cnaPANCAN272,gain,PRPF3
cnaPANCAN272,gain,PRUNE
cnaPANCAN272,gain,PSMB4
cnaPANCAN272,gain,PSMD4
cnaPANCAN272,gain,RFX5
cnaPANCAN272,gain,RIIAD1
cnaPANCAN272,gain,RORC
cnaPANCAN272,gain,RP11-126K1.2
cnaPANCAN272,gain,RPRD2
cnaPANCAN272,gain,S100A10
cnaPANCAN272,gain,S100A11
cnaPANCAN272,gain,SCNM1
cnaPANCAN272,gain,SELENBP1
cnaPANCAN272,gain,SEMA6C
cnaPANCAN272,gain,SETDB1
cnaPANCAN272,gain,SNX27
cnaPANCAN272,gain,TARS2
cnaPANCAN272,gain,TCHH
cnaPANCAN272,gain,TCHHL1
cnaPANCAN272,gain,TDRKH
cnaPANCAN272,gain,THEM4
cnaPANCAN272,gain,THEM5
cnaPANCAN272,gain,TMOD4
cnaPANCAN272,gain,TNFAIP8L2
cnaPANCAN272,gain,TUFT1
cnaPANCAN272,gain,VPS72
cnaPANCAN272,gain,ZNF687
cnaPANCAN273,gain,ADAM15
cnaPANCAN273,gain,CKS1B
cnaPANCAN273,gain,DCST1
cnaPANCAN273,gain,DCST2
cnaPANCAN273,gain,DPM3
cnaPANCAN273,gain,EFNA1
cnaPANCAN273,gain,EFNA3
cnaPANCAN273,gain,EFNA3
cnaPANCAN273,gain,EFNA4
cnaPANCAN273,gain,FLAD1
cnaPANCAN273,gain,KRTCAP2
cnaPANCAN273,gain,LENEP
cnaPANCAN273,gain,PBXIP1
cnaPANCAN273,gain,PMVK
cnaPANCAN273,gain,PYGO2
cnaPANCAN273,gain,RP11-201K10.3
cnaPANCAN273,gain,SHC1
cnaPANCAN273,gain,SLC50A1
cnaPANCAN273,gain,TRIM46
cnaPANCAN273,gain,ZBTB7B
cnaPANCAN274,gain,APOA1BP
cnaPANCAN274,gain,BCAN
cnaPANCAN274,gain,BGLAP
cnaPANCAN274,gain,C1orf61
cnaPANCAN274,gain,C1orf85
cnaPANCAN274,gain,CCT3
cnaPANCAN274,gain,CRABP2
cnaPANCAN274,gain,GPATCH4
cnaPANCAN274,gain,HAPLN2
cnaPANCAN274,gain,HDGF
cnaPANCAN274,gain,INSRR
cnaPANCAN274,gain,IQGAP3
cnaPANCAN274,gain,ISG20L2
cnaPANCAN274,gain,LMNA
cnaPANCAN274,gain,MEF2D
cnaPANCAN274,gain,MEX3A
cnaPANCAN274,gain,MRPL24
cnaPANCAN274,gain,NES
cnaPANCAN274,gain,NTRK1
cnaPANCAN274,gain,PAQR6
cnaPANCAN274,gain,PMF1
cnaPANCAN274,gain,PMF1-BGLAP
cnaPANCAN274,gain,PRCC
cnaPANCAN274,gain,RHBG
cnaPANCAN274,gain,RRNAD1
cnaPANCAN274,gain,SEMA4A
cnaPANCAN274,gain,SH2D2A
cnaPANCAN274,gain,SLC25A44
cnaPANCAN274,gain,SMG5
cnaPANCAN274,gain,TMEM79
cnaPANCAN274,gain,TSACC
cnaPANCAN274,gain,TTC24
cnaPANCAN274,gain,VHLL
cnaPANCAN275,gain,ADAMTS4
cnaPANCAN275,gain,APOA2
cnaPANCAN275,gain,ARHGAP30
cnaPANCAN275,gain,ATF6
cnaPANCAN275,gain,ATP1A2
cnaPANCAN275,gain,ATP1A4
cnaPANCAN275,gain,B4GALT3
cnaPANCAN275,gain,C1orf110
cnaPANCAN275,gain,C1orf111
cnaPANCAN275,gain,C1orf192
cnaPANCAN275,gain,C1orf204
cnaPANCAN275,gain,C1orf226
cnaPANCAN275,gain,CASQ1
cnaPANCAN275,gain,CCDC19
cnaPANCAN275,gain,CD244
cnaPANCAN275,gain,CD48
cnaPANCAN275,gain,CD84
cnaPANCAN275,gain,COPA
cnaPANCAN275,gain,DCAF8
cnaPANCAN275,gain,DCAF8
cnaPANCAN275,gain,DDR2
cnaPANCAN275,gain,DEDD
cnaPANCAN275,gain,DUSP12
cnaPANCAN275,gain,F11R
cnaPANCAN275,gain,FCER1G
cnaPANCAN275,gain,FCGR2A
cnaPANCAN275,gain,FCGR2B
cnaPANCAN275,gain,FCGR3A
cnaPANCAN275,gain,FCGR3B
cnaPANCAN275,gain,FCRL6
cnaPANCAN275,gain,FCRLA
cnaPANCAN275,gain,FCRLB
cnaPANCAN275,gain,HSD17B7
cnaPANCAN275,gain,HSPA6
cnaPANCAN275,gain,IGSF8
cnaPANCAN275,gain,IGSF9
cnaPANCAN275,gain,ITLN1
cnaPANCAN275,gain,ITLN2
cnaPANCAN275,gain,KCNJ10
cnaPANCAN275,gain,KCNJ9
cnaPANCAN275,gain,KLHDC9
cnaPANCAN275,gain,LY9
cnaPANCAN275,gain,MPZ
cnaPANCAN275,gain,NCSTN
cnaPANCAN275,gain,NDUFS2
cnaPANCAN275,gain,NHLH1
cnaPANCAN275,gain,NIT1
cnaPANCAN275,gain,NOS1AP
cnaPANCAN275,gain,NR1I3
cnaPANCAN275,gain,OLFML2B
cnaPANCAN275,gain,PCP4L1
cnaPANCAN275,gain,PEA15
cnaPANCAN275,gain,PEX19
cnaPANCAN275,gain,PFDN2
cnaPANCAN275,gain,PIGM
cnaPANCAN275,gain,PPOX
cnaPANCAN275,gain,PVRL4
cnaPANCAN275,gain,RP11-190A12.7
cnaPANCAN275,gain,RP11-544M22.13
cnaPANCAN275,gain,RP11-565P22.6
cnaPANCAN275,gain,SDHC
cnaPANCAN275,gain,SH2D1B
cnaPANCAN275,gain,SLAMF1
cnaPANCAN275,gain,SLAMF6
cnaPANCAN275,gain,SLAMF7
cnaPANCAN275,gain,SLAMF8
cnaPANCAN275,gain,SLAMF9
cnaPANCAN275,gain,TAGLN2
cnaPANCAN275,gain,TOMM40L
cnaPANCAN275,gain,TSTD1
cnaPANCAN275,gain,UAP1
cnaPANCAN275,gain,UFC1
cnaPANCAN275,gain,UHMK1
cnaPANCAN275,gain,USF1
cnaPANCAN275,gain,USP21
cnaPANCAN275,gain,VANGL2
cnaPANCAN275,gain,VSIG8
cnaPANCAN276,gain,ACBD6
cnaPANCAN276,gain,XPR1
cnaPANCAN277,gain,DHX9
cnaPANCAN277,gain,LAMC1
cnaPANCAN277,gain,LAMC2
cnaPANCAN277,gain,SHCBP1L
cnaPANCAN278,gain,ADIPOR1
cnaPANCAN278,gain,ADORA1
cnaPANCAN278,gain,ATP2B4
cnaPANCAN278,gain,BTG2
cnaPANCAN278,gain,CDK18
cnaPANCAN278,gain,CHI3L1
cnaPANCAN278,gain,CHIT1
cnaPANCAN278,gain,CNTN2
cnaPANCAN278,gain,CYB5R1
cnaPANCAN278,gain,DSTYK
cnaPANCAN278,gain,ETNK2
cnaPANCAN278,gain,FMOD
cnaPANCAN278,gain,GOLT1A
cnaPANCAN278,gain,KDM5B
cnaPANCAN278,gain,KISS1
cnaPANCAN278,gain,KLHDC8A
cnaPANCAN278,gain,KLHL12
cnaPANCAN278,gain,LAX1
cnaPANCAN278,gain,LEMD1
cnaPANCAN278,gain,LRRN2
cnaPANCAN278,gain,MDM4
cnaPANCAN278,gain,MYBPH
cnaPANCAN278,gain,MYOG
cnaPANCAN278,gain,NFASC
cnaPANCAN278,gain,NUAK2
cnaPANCAN278,gain,OPTC
